#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.20000000000000015,-37081.149850138056,-36176.29994015122,54.427821772600815
0.4000000000000003,-36428.09941417392,-34730.740440671274,102.09820509930854
0.6000000000000004,-35848.67305343243,-33562.1044289376,137.53988168782195
0.8000000000000006,-35336.76702206078,-32540.79456401299,168.18114136734562
1.0000000000000007,-34843.53107892201,-31770.8267430235,184.82690013928953
1.2000000000000008,-34539.618207630876,-31095.966833505954,207.1398153098895
1.400000000000001,-34139.65566823413,-30327.30347670769,229.31761756798355
1.6000000000000012,-33864.36811168969,-29859.95244863676,240.87046879987776
1.8000000000000014,-33743.504291672754,-29652.046078678715,246.10618396383924
2.0000000000000013,-33730.08509022897,-29327.59254052039,264.81527732508454
2.1999999999999793,-33493.528151163046,-28966.933689722006,272.28015813997206
2.3999999999999573,-33407.48171101598,-28839.943276637176,274.7429878724204
2.5999999999999353,-33093.993993601674,-28530.28328033691,274.5127457954851
2.7999999999999132,-33083.187245019246,-28414.802121290006,280.8090387983715
2.999999999999891,-32883.45784834711,-28192.527378120314,282.1651687901272
3.199999999999869,-32799.377453570516,-28113.12841249563,281.8835751371809
3.399999999999847,-32606.06140330588,-27953.386197323125,279.8640681532616
3.599999999999825,-32750.027084515634,-28047.084458484052,282.88771456046055
3.799999999999803,-32727.9247308099,-27957.325472905795,286.9573431924021
3.999999999999781,-32725.23729671011,-27945.46609278102,287.5090468927022
4.1999999999997595,-32628.61279151184,-27858.180226595287,286.94731640661473
4.3999999999997375,-33080.98712838488,-27986.304575698916,306.45134724012394
4.599999999999715,-32786.649807789654,-27884.824684558727,294.8507384739107
4.799999999999693,-32872.1128363437,-27924.48818379687,297.6056358235842
4.999999999999671,-32610.999911393592,-27793.847988710826,289.7575425554649
5.199999999999649,-32555.83373939671,-27792.197637194826,286.53850091441484
5.399999999999627,-32698.003616712696,-27846.968758909672,291.7956422817332
5.599999999999605,-32778.05394257023,-27979.45919182035,288.64130611070317
5.799999999999583,-32634.910507635912,-27944.215499906568,282.1510054347419
5.999999999999561,-32459.57901720857,-27663.427477686346,288.4943439860635
6.199999999999539,-32801.69563728932,-27792.307359401835,301.3207929507144
6.399999999999517,-32686.327440709487,-27721.307390363567,298.65199014226465
6.599999999999495,-32592.77801733199,-27667.63260902991,296.25348196267055
6.799999999999473,-32550.087901005783,-27642.93075364016,295.1714662057559
6.999999999999451,-32538.780488637334,-27741.268697493768,288.5761647742354
7.199999999999429,-32758.623396307987,-27695.89318794274,304.5293748967439
7.399999999999407,-32731.89364332627,-27718.15357385078,301.582558503575
7.599999999999385,-32630.57626927769,-27729.57968965624,294.8009005688509
7.799999999999363,-32793.38515035252,-27758.197939317703,302.8726301336201
7.999999999999341,-32585.186902837915,-27766.72699370896,289.83621952983214
8.199999999999408,-32820.85235524454,-27740.2724788021,305.6030541247384
8.399999999999475,-32703.245835925773,-27605.617177687905,306.6285590695474
8.599999999999541,-32539.41898448809,-27498.388162987278,303.22413040503653
8.799999999999608,-32300.34850539331,-27416.995847438637,293.7395972374917
8.999999999999675,-32484.165711542737,-27533.29714895613,297.80076095488226
9.199999999999742,-32549.694101482455,-27510.103132649383,303.13752151718285
9.399999999999809,-32455.02672523269,-27514.49894010983,297.17875062303057
9.599999999999875,-32496.54741669033,-27545.340055575187,297.8211400981241
9.799999999999942,-32289.301314047567,-27317.239490336768,299.0755613682067
10.000000000000009,-32426.875122274738,-27292.064673943212,308.8650889316472
10.200000000000076,-32414.05373319442,-27436.49816785165,299.40601660405247
10.400000000000142,-32525.13880662073,-27401.45696624939,308.19568963796445
10.60000000000021,-32574.629572112695,-27448.960286270478,308.31523689843027
10.800000000000276,-32523.002168659907,-27550.64167078011,299.09352698245806
11.000000000000343,-32284.810746254137,-27466.858493179752,289.80568340118253
11.20000000000041,-32245.941990226012,-27357.84739015295,294.0248308189144
11.400000000000476,-32369.867846214504,-27383.82527663029,299.91652022364525
11.600000000000543,-32358.27075833289,-27321.625250656827,302.9603484488955
11.80000000000061,-32214.746424655343,-27211.8603698168,300.9296763320051
12.000000000000677,-32286.195504178235,-27273.61173360137,301.51300571954346
12.200000000000744,-32434.823583679186,-27293.600250515767,309.25083174802614
12.40000000000081,-32320.534521179186,-27392.2199891693,296.4441086052109
12.600000000000877,-32351.83514206906,-27351.168868022534,300.7961538196098
12.800000000000944,-32333.168400016963,-27277.37009464379,304.1124125072543
13.00000000000101,-32509.52038431214,-27491.44740525633,301.8431882807254
13.200000000001078,-32417.229892448435,-27501.89105264275,295.66360494944263
13.400000000001144,-32448.924505361356,-27555.2486048406,294.3605528239383
13.600000000001211,-32432.910420914588,-27532.07107471529,294.7914427874185
13.800000000001278,-32608.5836422914,-27487.171191566187,308.05918309270345
14.000000000001345,-32485.225711338077,-27342.608007106784,309.334704862373
14.200000000001411,-32439.91712098557,-27421.190131142153,301.8825278244358
14.400000000001478,-32511.047920354613,-27521.227224608854,300.1437791039141
14.600000000001545,-32572.650285446725,-27488.536103982653,305.8156468671195
14.800000000001612,-32589.123105197563,-27439.585266248207,309.7509593758786
15.000000000001679,-32507.974779417273,-27603.01551376423,295.0392609496033
15.200000000001745,-32612.765043632884,-27711.816046077118,294.79803844977215
15.400000000001812,-32654.565679566993,-27797.983897957543,292.1292964900059
15.600000000001879,-32642.617443515453,-27744.490260906518,294.6283028512976
15.800000000001946,-32600.39577070379,-27668.08964787575,296.68420764400395
16.00000000000201,-32625.736536348035,-27583.694220146193,303.2849730405985
16.2000000000019,-32554.736536348035,-27633.750581694097,296.00328577064596
16.40000000000179,-32539.77061291653,-27594.94409081302,297.43732487678005
16.60000000000168,-32377.515054504678,-27398.977838960767,299.4650640566752
16.800000000001567,-32465.71058181778,-27341.953513001907,308.20021472033017
17.000000000001457,-32400.920683563338,-27347.757697563735,303.95389484416404
17.200000000001346,-32185.07943150864,-27229.04541864895,298.1114690665099
17.400000000001235,-32301.227801043075,-27195.170189138502,307.1355708765195
17.600000000001124,-32209.6725284337,-27074.85390024734,308.8655809598567
17.800000000001013,-32185.82315351459,-27099.177761241037,305.96790227355405
18.000000000000902,-32130.04971601459,-27058.291048852436,305.07244766589133
18.20000000000079,-32212.083425233985,-27157.366247541184,304.04738136335817
18.40000000000068,-32413.8380682212,-27383.341353349824,302.5904910889109
18.60000000000057,-32295.762377458304,-27362.022872322385,296.7704273318484
18.80000000000046,-32379.406099321117,-27323.192955109087,304.13736556757567
19.000000000000348,-32414.859224321117,-27459.52868798448,298.0691540986958
19.200000000000237,-32543.750743387878,-27564.851703458145,299.48682823321667
19.400000000000126,-32392.5946683519,-27457.533860561758,296.84990529231226
19.600000000000016,-32333.5215592671,-27401.617490033415,296.6600236316776
19.799999999999905,-32320.52595825214,-27405.79286508204,295.62716855313306
19.999999999999794,-32341.897764177003,-27278.34460269095,304.578876527116
20.199999999999683,-32385.95226560862,-27251.124113354395,308.86615384411357
20.399999999999572,-32254.287001306395,-27255.7350322243,300.66897580643115
20.59999999999946,-32204.788006677496,-27172.963392735663,302.67036583182806
20.79999999999935,-32199.436043244903,-27255.754571490106,297.36844870669637
20.99999999999924,-32262.031769001187,-27343.573430227378,295.851246603581
21.19999999999913,-32225.59035035796,-27369.86832425851,292.0775811511969
21.399999999999018,-32305.502995499322,-27290.424499349116,301.6630664946828
21.599999999998907,-32471.466644160653,-27484.50551747784,299.97177254947167
21.799999999998796,-32514.987875458697,-27488.150567349425,302.37037332480105
21.999999999998685,-32472.156336889893,-27569.997513261915,294.8708109583478
22.199999999998575,-32558.84917054363,-27589.612766573584,298.9056089369967
22.399999999998464,-32411.105825518287,-27529.449723914295,293.63754731113045
22.599999999998353,-32288.58178895703,-27420.193622988096,292.83946485782536
22.799999999998242,-32428.64828351626,-27414.062289917812,301.6334418676438
22.99999999999813,-32574.65565243439,-27308.474750010122,316.76718140314836
23.19999999999802,-32289.844351421314,-27330.26161404999,298.32492915873934
23.39999999999791,-32520.039071563835,-27619.40532194471,294.7790759032545
23.5999999999978,-32453.171150948183,-27676.527889775374,287.32089733444406
23.799999999997688,-32570.187925095874,-27643.64816160788,296.3373541216982
23.999999999997577,-32380.74211733986,-27562.82812354283,289.8033820591522
24.199999999997466,-32494.99765335876,-27433.286086012755,304.4681024014565
24.399999999997355,-32335.67599883498,-27478.59624027516,292.15925040877454
24.599999999997245,-32763.519414934795,-27556.542197538074,313.20600779701135
24.799999999997134,-32484.8668378852,-27551.40449575332,296.7537556403124
24.999999999997023,-32375.29860146594,-27422.84274203045,297.89623878942444
25.199999999996912,-32389.426323069405,-27353.801973377034,302.89892455513746
25.3999999999968,-32422.609850728506,-27294.071845470084,308.48779385774196
25.59999999999669,-32240.117663228506,-27268.34304316956,299.0582857195019
25.79999999999658,-32407.967150835873,-27328.06036865161,305.56256668708056
25.99999999999647,-32180.142372785194,-27211.338160970772,298.87961205358175
26.199999999996358,-32282.570115868613,-27331.218972359464,297.82978878386604
26.399999999996247,-32457.54529608463,-27361.483131218265,306.5343325894527
26.599999999996136,-32306.252478890354,-27340.334289811784,298.7060142785641
26.799999999996025,-32342.56057999289,-27419.94706201466,296.1011856826208
26.999999999995914,-32311.938969274604,-27432.810288803274,293.4855198583623
27.199999999995804,-32425.288620721927,-27416.75120138601,301.26961277476784
27.399999999995693,-32397.691357319418,-27455.04107018019,297.3064216988454
27.599999999995582,-32385.822834239836,-27274.31732929268,307.4632682639925
27.79999999999547,-32191.42909634803,-27179.043490562035,301.501085866538
27.99999999999536,-32140.35741291076,-27185.834323569405,298.02058518061875
28.19999999999525,-32358.761469516438,-27303.52913965634,304.0783683922985
28.39999999999514,-32359.257850458118,-27207.31210343467,309.8957979729266
28.599999999995028,-32308.403919727047,-27161.16090020674,309.6129231982693
28.799999999994917,-32446.37984418805,-27367.008263443888,305.5303736700148
28.999999999994806,-32382.415556436637,-27352.46064514038,302.5579009453998
29.199999999994695,-32413.923368936637,-27211.186211883323,312.9509630143033
29.399999999994584,-32349.458794545702,-27247.2115842177,306.90637059081166
29.599999999994473,-32381.318169545702,-27303.259112636646,305.4514237661899
29.799999999994363,-32334.662322595337,-27210.838142413268,308.204251550569
29.99999999999425,-32330.490904648992,-27305.503934484645,302.2590732486515
30.19999999999414,-32433.23863833779,-27215.186014805775,313.8722069362693
30.39999999999403,-32339.184816176392,-27315.018470026873,302.20971171683453
30.59999999999392,-32324.33837945244,-27330.651838357997,300.37631439989684
30.79999999999381,-32210.26107011229,-27194.65889372077,301.6945664976396
30.999999999993697,-32322.699832285434,-27336.7389075222,299.91160918843826
31.199999999993587,-32460.701996507647,-27575.527697033307,293.8491711887864
31.399999999993476,-32775.00145217488,-27717.45270026094,304.21770399404335
31.599999999993365,-32540.137367714662,-27725.309357918333,289.61775637103585
31.799999999993254,-32658.731117714662,-27730.779973703902,296.4222503754289
31.999999999993143,-32811.01129357531,-27737.400917726016,305.18383019385124
32.19999999999339,-32533.158460331266,-27622.0420450588,295.4096209821506
32.39999999999363,-32557.18738154965,-27492.313557049405,304.6583160124548
32.59999999999388,-32492.130316261202,-27447.024071637075,303.4692720588684
32.79999999999412,-32547.862549437326,-27647.3722990175,294.77044425201836
32.999999999994365,-32452.525975606404,-27430.67882678844,302.0702091787625
33.19999999999461,-32535.063379956235,-27456.796186592255,305.463943426907
33.399999999994854,-32582.13865395286,-27424.43010704429,310.24243738969267
33.5999999999951,-32508.721446372714,-27346.23127603848,310.53005784997356
33.79999999999534,-32371.250314613542,-27364.159226180724,301.18261421318414
33.99999999999559,-32344.575634097593,-27337.97937534927,301.1528496062827
34.19999999999583,-32394.583446597593,-27357.498404002894,302.9867870084294
34.399999999996076,-32378.233813774365,-27334.380051000568,303.3939337533983
34.59999999999632,-32529.827185696573,-27380.722512373817,309.7249039370015
34.799999999996565,-32642.329523704277,-27362.89101951316,317.56464226172164
34.99999999999681,-32503.55304709397,-27299.163746037928,313.05034148395964
